Code,School Name, Level,Grade Span,Calendar,Magnet Programs,School Membership 2012-13,GRD KI,GRD 1,GRD 2,GRD 3,GRD 4,GRD 5,GRD 6,GRD 7,GRD 8,GRD 9,GRD 10,GRD 11,GRD 12,GRD 13,MALE,FEMALE,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Two or More Races,White,% American Indian and Alaska Native,% Asian,% Black or African American,% Hispanic or Latino,% Native Hawaiian and Other Pacific Islander,% Two or More Races,% White,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2011-12,NC ABC Results Performance Recognition 2011-12,"NC ABC Results Growth Recognition
2011-12",Met All AMO Targets,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location within Municipal Corporate Limit ,Number Permanent Learning Spaces,20th Day Actual Membership,Special Needs Program Adjustment,Existing School Building Capacity,Long-Range School Campus Capacity [LRSCC],LRSCC Percent Crowding (inc. Prog. Adjustment) ,Existing Temporary Classrooms,Annual School Campus Capacity [ASCC],Percent in Temporary Classrooms,ASCC Percent Crowding 
396,DOUGLAS ES,E,KI-5,T,Creative Arts & Science,684,127,118,117,113,108,101,,,,,,,,,343,341,0,19,130,149,0,37,349,0.0%,2.8%,19.0%,21.8%,0.0%,5.4%,51.0%,252,36.8%,78,11.4%,85,12.4%,YES,78.7,Pro,Exp,No,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,32,684,0,400,630,108.6%,10,630,36.5%,108.6%
398,DURANT RD ES,E,KI-5,Y-R,,954,165,164,170,157,152,146,,,,,,,,,482,472,6,28,181,159,0,46,534,0.6%,2.9%,19.0%,16.7%,0.0%,4.8%,56.0%,323,33.9%,56,5.9%,88,9.2%,YES,80.9,Dst,Hgh,Yes,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,35,954,(147),659,935,121.1%,18,926,44.7%,103.0%
403,E GARNER ES,E,KI-5,Y-R,,587,112,106,104,73,96,96,,,,,,,,,304,283,7,3,314,165,2,18,78,1.2%,0.5%,53.5%,28.1%,0.3%,3.1%,13.3%,387,65.9%,50,8.5%,129,22.0%,YES,74.6,Pro,Hgh,Yes,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,GARNER,46,587,(160),963,"1,055",65.6%,0,803,0.0%,73.1%
414,FARMINGTON WOODS ES,E,KI-5,T,International Baccalaureate-PYP,797,135,136,136,137,133,120,,,,,,,,,391,406,1,98,103,127,0,49,419,0.1%,12.3%,12.9%,15.9%,0.0%,6.1%,52.6%,216,27.1%,47,5.9%,77,9.7%,NO,83.3,Dst,Hgh,No,Western Wake,Bill Fletcher ,Western Area,Jacqueline Ellis,Cary,CARY,37,797,0,546,684,116.5%,13,845,35.4%,94.3%
417,FOREST PINES DR ES,E,KI-5,T,,669,105,110,112,113,111,118,,,,,,,,,324,345,3,27,138,90,0,29,382,0.4%,4.0%,20.6%,13.5%,0.0%,4.3%,57.1%,199,29.7%,29,4.3%,43,6.4%,NO,83.1,Dst,Hgh,Yes,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,40,669,14,655,655,100.0%,0,669,0.0%,100.0%
413,FORESTVILLE RD ES,E,KI-5,T,,672,114,114,116,110,115,103,,,,,,,,,333,339,0,11,282,200,1,31,147,0.0%,1.6%,42.0%,29.8%,0.1%,4.6%,21.9%,401,59.7%,63,9.4%,132,19.6%,YES,83.5,Dst,Hgh,Yes,Northeast Wake,Tom Benton,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,40,672,(184),655,770,114.7%,6,609,22.7%,110.3%
415,FOX RD ES,E,KI-5,T,,832,148,130,139,134,140,141,,,,,,,,,438,394,1,42,390,297,2,27,73,0.1%,5.0%,46.9%,35.7%,0.2%,3.2%,8.8%,669,80.4%,97,11.7%,213,25.6%,YES,66.5,Pro,Exp,No,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,35,832,(181),540,724,153.2%,23,888,59.6%,93.7%
416,FULLER ES,E,KI-5,T,Gifted & Talented/AG Basics,598,89,98,96,92,111,112,,,,,,,,,310,288,4,231,169,109,1,13,71,0.7%,38.6%,28.3%,18.2%,0.2%,2.2%,11.9%,244,40.8%,39,6.5%,87,14.5%,YES,79.5,Pro,Hgh,No,East Raleigh,Keith Sutton,Southwestern Area,Clinton Robinson,Raleigh,RALEIGH,31,598,(32),389,504,126.7%,8,541,34.0%,110.5%
420,FUQUAY-VARINA ES,E,KI-5,T,,695,118,116,115,114,116,116,,,,,,,,,334,361,0,10,126,137,0,33,389,0.0%,1.4%,18.1%,19.7%,0.0%,4.7%,56.0%,296,42.6%,30,4.3%,51,7.3%,YES,84.0,Dst,Hgh,Yes,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,40,695,(126),655,770,107.9%,13,828,36.1%,83.9%
440,GREEN ES,E,KI-5,Y-R,,484,74,109,81,73,73,74,,,,,,,,,244,240,0,27,153,126,8,16,154,0.0%,5.6%,31.6%,26.0%,1.7%,3.3%,31.8%,303,62.6%,36,7.4%,103,21.3%,YES,69.3,Pro,Hgh,No,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,33,484,(61),613,705,75.2%,4,644,14.3%,75.2%
