Code,School Name,Level,Grade Span,Calendar,Magnet Program,School Membership 2011-12,KI GRADE,1st GRADE,2nd GRADE,3rd GRADE,4th GRADE,5th GRADE,6th GRADE,7th GRADE,8th GRADE,9th GRADE,10th GRADE,11th GRADE,12th GRADE,13th GRADE,MALE,FEMALE,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Two or More Races,White,% American Indian and Alaska Native,% Asian,% Black or African American,% Hispanic or Latino,% Native Hawaiian and Other Pacific Islander,% Two or More Races,% White,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2010-11,NC ABC Results Performance Recognition 2010-11,"NC ABC Results Growth Recognition
2010-11",AYP Status 2010-11,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location within Municipal Corporate Limit ,Number Permanent Learning Spaces,20th Day Actual Membership,Special Needs Program Adjustment,Existing School Building Capacity,Existing Temporary Classrooms,Annual School Campus Capacity [ASCC],Percent in Temporary Classrooms,Percent Crowding Including Existing Temporary Classrooms
394,Dillard Drive Middle,M,.6-8,T,N/A,"1,230",,,,,,,413,416,401,,,,,,628,602,3,39,305,193,1,40,649,0.2%,3.2%,24.8%,15.7%,0.1%,3.3%,52.8%,472,38.4%,31,2.5%,94,7.6%,NO,80%,Dst,Exp,No,South Central Raleigh,Dr. Jim Martin,Southwestern Area,Julye Mizelle,Raleigh,RALEIGH,62,"1,230",-30,"1,033",6,"1,159",13.5%,106.1%
399,Durant Road Middle,M,.6-8,Y-R,N/A,"1,462",,,,,,,535,485,442,,,,,,803,659,6,53,403,188,,74,738,0.4%,3.6%,27.6%,12.9%,0.0%,5.1%,50.5%,481,32.9%,41,2.8%,75,5.1%,NO,81%,Dst,Hgh,No,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,62,"1,462",-82,"1,345",9,"1,497",15.6%,97.7%
402,East Cary Middle,M,.6-8,Y-R,N/A,725,,,,,,,216,233,276,,,,,,368,357,1,67,109,119,,39,390,0.1%,9.2%,15.0%,16.4%,0.0%,5.4%,53.8%,194,26.8%,13,1.8%,49,6.8%,NO,88%,Dst,Hgh,No,Western Wake,Debra Goldman,Western Area,Jacqueline Ellis,Cary,CARY,60,725,-40,"1,293",0,"1,253",0.0%,57.9%
404,East Garner Middle,M,.6-8,T,International Baccalaureate,"1,298",,,,,,,474,445,379,,,,,,630,668,,19,701,237,4,40,297,0.0%,1.5%,54.0%,18.3%,0.3%,3.1%,22.9%,734,56.5%,44,3.4%,83,6.4%,NO,69.6%,Pro,Exp,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,GARNER,57,"1,298",-31,825,21,"1,340",40.7%,96.9%
408,East Millbrook Middle,M,.6-8,T,International Baccalaureate & Creative Arts,"1,211",,,,,,,407,395,409,,,,,,568,643,3,50,642,238,1,64,213,0.2%,4.1%,53.0%,19.7%,0.1%,5.3%,17.6%,732,60.4%,56,4.6%,129,10.7%,NO,64.8%,NR,Not Met,No,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,63,"1,211",-88,929,18,"1,309",35.8%,92.5%
410,East Wake Middle,M,.6-8,Y-R,STEM Schools,972,,,,,,,307,323,342,,,,,,515,457,11,12,393,313,,33,210,1.1%,1.2%,40.4%,32.2%,0.0%,3.4%,21.6%,579,59.6%,29,3.0%,108,11.1%,NO,72.7%,Pro,Hgh,No,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,55,972,-90,"1,163",12,"1,385",22.5%,70.2%
424,Fuquay-Varina Middle ,M,.6-8,T,N/A,923,,,,,,,308,294,321,,,,,,452,471,6,7,194,163,,35,518,0.7%,0.8%,21.0%,17.7%,0.0%,3.8%,56.1%,402,43.6%,15,1.6%,36,3.9%,NO,78.2%,Pro,Hgh,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,57,923,0,903,0,903,0.0%,102.2%
444,Heritage Middle,M,.6-8,Y-R,N/A,"1,495",,,,,,,521,500,474,,,,,,769,726,12,40,278,103,,69,993,0.8%,2.7%,18.6%,6.9%,0.0%,4.6%,66.4%,278,18.6%,17,1.1%,33,2.2%,NO,90.6%,Exc,Hgh,No,Northeast Wake,Chris Malone,Northeastern Area,Andre Smith,Wake Forest,WAKE FOREST,60,"1,495",-49,"1,293",0,"1,244",0.0%,120.2%
458,Holly Grove Middle,M,.6-8,Y-R,N/A,"1,106",,,,,,,402,383,321,,,,,,569,537,2,10,156,173,,48,717,0.2%,0.9%,14.1%,15.6%,0.0%,4.3%,64.8%,296,26.8%,30,2.7%,58,5.2%,NO,83.2%,Dst,Hgh,No,Southern Wake,Susan Evans,Southern Area,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,82,"1,106",0,"1,623",0,"1,623",0.0%,68.1%
450,Holly Ridge Middle,M,.6-8,T,N/A,"1,041",,,,,,,354,328,359,,,,,,522,519,2,23,183,151,2,43,637,0.2%,2.2%,17.6%,14.5%,0.2%,4.1%,61.2%,296,28.4%,21,2.0%,40,3.8%,NO,84.9%,Dst,Exp,No,Southern Wake,Susan Evans,Southern Area,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,57,"1,041",25,903,14,"1,292",28.2%,80.6%
471,Leesville Road Middle,M,.6-8,T,N/A,"1,180",,,,,,,377,403,400,,,,,,569,611,1,38,297,147,2,52,643,0.1%,3.2%,25.2%,12.5%,0.2%,4.4%,54.5%,358,30.3%,21,1.8%,52,4.4%,NO,79.4%,Pro,Hgh,No,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,53,"1,180",-36,799,16,"1,179",35.3%,100.1%
472,Ligon Middle,M,.6-8,T,Gifted & Talented/AG Basics,"1,096",,,,,,,388,362,346,,,,,,552,544,3,78,365,74,1,39,536,0.3%,7.1%,33.3%,6.8%,0.1%,3.6%,48.9%,318,29.0%,11,1.0%,32,2.9%,NO,84.5%,Dst,Exp,No,East Raleigh,Keith Sutton,Central Area,Kevin Hobbs,Raleigh,RALEIGH,64,"1,096",51,"1,059",3,"1,188",6.6%,92.3%
484,Lufkin Road Middle,M,.6-8,Y-R,N/A,"1,019",,,,,,,353,337,329,,,,,,529,490,4,42,149,64,2,30,728,0.4%,4.1%,14.6%,6.3%,0.2%,2.9%,71.4%,155,15.2%,18,1.8%,33,3.2%,NO,90.4%,Exc,Hgh,No,Southern Wake,Susan Evans,Southwestern Area,Julye Mizelle,Apex,APEX,57,"1,019",-10,"1,215",0,"1,205",0.0%,84.6%
492,Martin Middle,M,.6-8,T,Gifted & Talented,"1,056",,,,,,,354,347,355,,,,,,504,552,5,99,214,121,,51,566,0.5%,9.4%,20.3%,11.5%,0.0%,4.8%,53.6%,321,30.4%,31,2.9%,66,6.3%,NO,82.7%,Dst,Hgh,No,Central Raleigh,Christine Kushner,Central Area,Kevin Hobbs,Raleigh,RALEIGH,64,"1,056",-60,981,3,999,7.8%,105.7%
502,Mills Park Middle,M,.6-8,T,N/A,"1,316",,,,,,,503,449,364,,,,,,640,676,2,240,180,113,2,48,731,0.2%,18.2%,13.7%,8.6%,0.2%,3.6%,55.5%,150,11.4%,24,1.8%,44,3.3%,NO,90.7%,Exc,Hgh,No,Southern Wake,Susan Evans,Western Area,Jacqueline Ellis,Cary,CARY,82,"1,316",76,"1,311",0,"1,387",0.0%,94.9%
506,Moore Square Middle,M,.6-8,MOD,Museums,507,,,,,,,183,161,163,,,,,,252,255,,8,244,75,1,15,164,0.0%,1.6%,48.1%,14.8%,0.2%,3.0%,32.3%,263,51.9%,22,4.3%,38,7.5%,NO,69.8%,Pro,Exp,No,South Central Raleigh,Dr. Jim Martin,Central Area,Kevin Hobbs,Raleigh,RALEIGH,37,507,-96,651,0,555,0.0%,91.4%
512,North Garner Middle,M,.6-8,Y-R,N/A,984,,,,,,,316,322,346,,,,,,504,480,5,11,333,179,2,44,410,0.5%,1.1%,33.8%,18.2%,0.2%,4.5%,41.7%,457,46.4%,40,4.1%,67,6.8%,NO,74.1%,Pro,Exp,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,GARNER,56,984,-18,"1,189",5,"1,301",10.0%,75.6%
400,Reedy Creek Middle,M,.6-8,T,N/A,"1,009",,,,,,,353,316,340,,,,,,539,470,3,63,262,192,,56,433,0.3%,6.2%,26.0%,19.0%,0.0%,5.6%,42.9%,475,47.1%,38,3.8%,95,9.4%,NO,81.8%,Dst,Hgh,No,Western Wake,Debra Goldman,Western Area,Jacqueline Ellis,Cary,CARY,57,"1,009",25,903,0,928,0.0%,108.7%
551,Salem Middle,M,.6-8,Y-R,N/A,"1,119",,,,,,,385,379,355,,,,,,564,555,1,147,131,99,3,60,678,0.1%,13.1%,11.7%,8.8%,0.3%,5.4%,60.6%,184,16.4%,22,2.0%,48,4.3%,NO,90.3%,Exc,Hgh,No,Western Wake,Debra Goldman,Southwestern Area,Julye Mizelle,Apex,APEX,57,"1,119",-53,"1,215",2,"1,214",4.3%,92.2%
592,Wake Forest-Rolesville Middle,M,.6-8,T,N/A,"1,101",,,,,,,340,356,405,,,,,,576,525,6,48,341,177,3,47,479,0.5%,4.4%,31.0%,16.1%,0.3%,4.3%,43.5%,471,42.8%,28,2.5%,66,6.0%,NO,77.4%,Pro,Exp,No,Northeast Wake,Chris Malone,Northeastern Area,Andre Smith,Wake Forest,WAKE FOREST,57,"1,101",0,903,13,"1,241",27.2%,88.7%
594,Wakefield Middle,M,.6-8,T,N/A,"1,176",,,,,,,354,427,395,,,,,,565,611,5,70,241,134,1,34,691,0.4%,6.0%,20.5%,11.4%,0.1%,2.9%,58.8%,286,24.3%,15,1.3%,58,4.9%,NO,86.3%,Dst,Hgh,Yes,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,57,"1,176",42,903,13,"1,283",26.3%,91.7%
601,Wendell Middle,M,.6-8,T,N/A,"1,082",,,,,,,372,354,356,,,,,,540,542,7,10,407,222,2,56,378,0.6%,0.9%,37.6%,20.5%,0.2%,5.2%,34.9%,599,55.4%,12,1.1%,59,5.5%,NO,72.9%,Pro,Exp,No,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Wake County,WAKE COUNTY,60,"1,082",-36,981,0,945,0.0%,114.5%
604,West Cary Middle,M,.6-8,T,N/A,718,,,,,,,242,239,237,,,,,,346,372,4,135,129,67,3,33,347,0.6%,18.8%,18.0%,9.3%,0.4%,4.6%,48.3%,177,24.7%,23,3.2%,41,5.7%,NO,88.7%,Dst,Hgh,No,Western Wake,Debra Goldman,Western Area,Jacqueline Ellis,Cary,CARY,56,718,68,877,6,"1,101",14.2%,65.2%
607,West Lake Middle,M,.6-8,Y-R,N/A,"1,270",,,,,,,425,443,402,,,,,,643,627,5,20,167,164,1,52,861,0.4%,1.6%,13.1%,12.9%,0.1%,4.1%,67.8%,268,21.1%,21,1.7%,53,4.2%,NO,88.6%,Dst,Hgh,No,South Central Raleigh,Dr. Jim Martin,Southwestern Area,Julye Mizelle,Cary,CARY,56,"1,270",-49,"1,189",12,"1,452",21.5%,87.5%
608,West Millbrook Middle,M,.6-8,T,N/A,984,,,,,,,317,338,329,,,,,,514,470,4,28,278,160,,27,487,0.4%,2.8%,28.3%,16.3%,0.0%,2.7%,49.5%,391,39.7%,47,4.8%,87,8.8%,NO,74.7%,Pro,Exp,No,North Raleigh,Kevin Hill,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,59,984,-36,955,8,"1,127",18.5%,87.3%
636,Zebulon Middle,M,.6-8,T,Gifted & Talented,582,,,,,,,197,191,194,,,,,,302,280,6,6,229,106,,28,207,1.0%,1.0%,39.3%,18.2%,0.0%,4.8%,35.6%,341,58.6%,12,2.1%,40,6.9%,NO,72.9%,Pro,Exp,No,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Zebulon,ZEBULON,58,582,81,825,4,"1,010",10.3%,57.6%
316,Apex High,S,.9-12,T,N/A,"2,367",,,,,,,,,,670,546,598,553,,"1,252","1,115",12,142,189,192,1,86,"1,745",0.5%,6.0%,8.0%,8.1%,0.0%,3.6%,73.7%,246,10.4%,28,1.2%,45,1.9%,NO,93%,Exc,Hgh,No,Southern Wake,Susan Evans,Southwestern Area,Julye Mizelle,Apex,APEX,82,"2,367",0,"1,639",35,"2,479",33.9%,95.5%
318,Athens Drive High ,S,.9-12,T,N/A,"1,975",,,,,,,,,,599,529,451,396,,979,996,10,131,456,248,1,89,"1,040",0.5%,6.6%,23.1%,12.6%,0.1%,4.5%,52.7%,608,30.8%,60,3.0%,151,7.7%,NO,82%,Dst,Hgh,No,South Central Raleigh,Dr. Jim Martin,Central Area,Kevin Hobbs,Raleigh,RALEIGH,86,"1,975",-102,"1,735",15,"1,993",18.1%,99.1%
348,Broughton High,S,.9-12,T,N/A,"2,161",,,,,,,,,,656,491,506,508,,"1,091","1,070",13,95,628,215,5,73,"1,132",0.6%,4.4%,29.1%,9.9%,0.2%,3.4%,52.4%,677,31.3%,94,4.4%,139,6.4%,NO,81.8%,Dst,Hgh,No,Central Raleigh,Christine Kushner,Central Area,Kevin Hobbs,Raleigh,RALEIGH,89,"2,161",0,"1,799",12,"2,087",13.8%,103.5%
368,Cary High,S,.9-12,T,N/A,"2,282",,,,,,,,,,615,572,581,514,,"1,213","1,069",15,126,406,404,2,116,"1,213",0.7%,5.5%,17.8%,17.7%,0.1%,5.1%,53.2%,692,30.3%,57,2.5%,153,6.7%,NO,89.1%,Dst,Hgh,No,Western Wake,Debra Goldman,Western Area,Jacqueline Ellis,Cary,CARY,115,"2,282",-15,"2,315",0,"2,300",0.0%,99.2%
700,East Wake High School of Health Science,S,.9-12,T,N/A,376,,,,,,,,,,106,95,85,90,,141,235,3,3,137,69,4,13,147,0.8%,0.8%,36.4%,18.4%,1.1%,3.5%,39.1%,175,46.5%,7,1.9%,28,7.5%,NO,71.4%,Pro,Exp,Yes,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Wake County,WAKE COUNTY,21,376,-9,334,4,421,22.8%,89.3%
702,"East Wake School of Arts, Education and Global Studies",S,.9-12,T,N/A,380,,,,,,,,,,105,100,78,97,,126,254,1,2,138,72,,19,148,0.3%,0.5%,36.3%,18.9%,0.0%,5.0%,38.9%,203,53.4%,9,2.4%,30,7.9%,NO,76%,Pro,Exp,No,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Wake County,WAKE COUNTY,20,380,-42,416,2,422,11.4%,90.0%
703,East Wake School of Engineering Systems,S,.9-12,T,N/A,375,,,,,,,,,,124,83,82,86,,292,83,2,,117,61,,16,179,0.5%,0.0%,31.2%,16.3%,0.0%,4.3%,47.7%,157,41.9%,7,1.9%,19,5.1%,NO,78.7%,Pro,Hgh,Yes,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Wake County,WAKE COUNTY,20,375,-84,453,1,393,6.1%,95.4%
701,East Wake School of Integrated Technology,S,.9-12,T,N/A,321,,,,,,,,,,111,90,59,61,,191,130,,7,147,68,,15,84,0.0%,2.2%,45.8%,21.2%,0.0%,4.7%,26.2%,189,58.9%,7,2.2%,27,8.4%,NO,63.6%,NR,Not Met,No,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Wake County,WAKE COUNTY,21,321,-57,448,0,391,0.0%,82.1%
412,Enloe High,S,.9-12,T,"GT/IB Center for Humanities, Sciences & the Arts","2,630",,,,,,,,,,840,664,524,602,,"1,312","1,318",2,367,"1,027",273,1,144,816,0.1%,14.0%,39.0%,10.4%,0.0%,5.5%,31.0%,885,33.7%,58,2.2%,112,4.3%,NO,77.9%,NR,Not Met,No,East Raleigh,Keith Sutton,Central Area,Kevin Hobbs,Raleigh,RALEIGH,118,"2,630",48,"2,409",8,"2,649",7.2%,99.3%
428,Fuquay-Varina High ,S,.9-12,T,N/A,"2,026",,,,,,,,,,600,474,484,468,,"1,065",961,13,29,365,304,4,82,"1,229",0.6%,1.4%,18.0%,15.0%,0.2%,4.0%,60.7%,555,27.4%,22,1.1%,69,3.4%,NO,84.1%,Dst,Exp,No,Southern Wake,Susan Evans,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,82,"2,026",-9,"1,639",23,"2,182",25.3%,92.9%
436,Garner High ,S,.9-12,T,International Baccalaureate,"2,312",,,,,,,,,,713,593,556,450,,"1,206","1,106",11,28,881,377,3,104,908,0.5%,1.2%,38.1%,16.3%,0.1%,4.5%,39.3%,942,40.7%,51,2.2%,96,4.2%,NO,79.2%,Pro,Hgh,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,GARNER,91,"2,312",-99,"1,847",23,"2,300",24.0%,100.5%
441,Green Hope High,S,.9-12,T,N/A,"2,047",,,,,,,,,,546,517,505,479,,"1,048",999,4,376,101,96,6,67,"1,397",0.2%,18.4%,4.9%,4.7%,0.3%,3.3%,68.2%,97,4.7%,27,1.3%,33,1.6%,NO,96.9%,Exc,Hgh,No,Western Wake,Debra Goldman,Western Area,Jacqueline Ellis,Cary,CARY,82,"2,047",54,"1,639",17,"2,101",19.4%,97.4%
445,Heritage High,S,.9-11,T,N/A,"1,334",,,,,,,,,,566,452,316,,,705,629,10,33,376,206,2,71,636,0.7%,2.5%,28.2%,15.4%,0.1%,5.3%,47.7%,418,31.3%,37,2.8%,67,5.0%,NO,83.6%,Dst,Exp,No,Northeast Wake,Chris Malone,Northeastern Area,Andre Smith,Wake Forest,WAKE FOREST,83,"1,334",-24,"1,663",0,"1,639",0.0%,81.4%
455,Holly Springs High,S,.9-12,T,N/A,"2,106",,,,,,,,,,603,550,529,424,,"1,098","1,008",13,48,347,238,1,93,"1,366",0.6%,2.3%,16.5%,11.3%,0.0%,4.4%,64.9%,402,19.1%,33,1.6%,56,2.7%,NO,89.6%,Dst,Hgh,No,Southern Wake,Susan Evans,Southern Area,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,83,"2,106",36,"1,663",8,"1,891",10.2%,111.4%
466,Knightdale High,S,.9-12,T,STEM Schools,"1,717",,,,,,,,,,497,398,383,439,,903,814,8,36,783,315,1,100,474,0.5%,2.1%,45.6%,18.3%,0.1%,5.8%,27.6%,809,47.1%,51,3.0%,135,7.9%,NO,74.9%,NR,Not Met,No,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,83,"1,717",-6,"1,663",16,"2,041",18.8%,84.1%
473,Leesville Road High,S,.9-12,T,N/A,"2,181",,,,,,,,,,581,545,545,510,,"1,127","1,054",10,114,392,200,1,94,"1,370",0.5%,5.2%,18.0%,9.2%,0.0%,4.3%,62.8%,377,17.3%,26,1.2%,64,2.9%,NO,89.1%,Dst,Hgh,No,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,112,"2,181",0,"2,243",12,"2,531",11.4%,86.2%
495,Middle Creek High,S,.9-12,T,STEM Schools,"1,859",,,,,,,,,,555,481,409,414,,958,901,20,34,439,274,1,89,"1,002",1.1%,1.8%,23.6%,14.7%,0.1%,4.8%,53.9%,538,28.9%,49,2.6%,98,5.3%,NO,81.6%,Dst,Hgh,No,South Central Raleigh,Dr. Jim Martin,Southwestern Area,Julye Mizelle,Cary,CARY,82,"1,859",30,"1,639",18,"2,101",20.6%,88.5%
500,Millbrook High ,S,.9-12,T,International Baccalaureate,"2,615",,,,,,,,,,822,703,490,600,,"1,351","1,264",9,104,833,366,5,102,"1,196",0.3%,4.0%,31.9%,14.0%,0.2%,3.9%,45.7%,833,31.9%,80,3.1%,156,6.0%,NO,83%,Dst,Hgh,No,North Raleigh,Kevin Hill,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,105,"2,615",-39,"2,183",18,"2,576",16.8%,101.5%
526,Panther Creek High ,S,.9-12,T,N/A,"2,455",,,,,,,,,,690,624,590,551,,"1,264","1,191",9,407,322,205,1,119,"1,392",0.4%,16.6%,13.1%,8.4%,0.0%,4.8%,56.7%,251,10.2%,35,1.4%,69,2.8%,NO,94.5%,Exc,Hgh,No,West Raleigh/Morrisville,Deborah Prickett,Western Area,Jacqueline Ellis,Cary,CARY,83,"2,455",9,"1,663",22,"2,200",24.0%,111.6%
552,Sanderson High,S,.9-12,T,N/A,"2,016",,,,,,,,,,591,510,475,440,,"1,053",963,5,86,510,263,1,74,"1,077",0.2%,4.3%,25.3%,13.0%,0.0%,3.7%,53.4%,637,31.6%,99,4.9%,136,6.8%,NO,86.4%,Dst,Exp,No,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,86,"2,016",-15,"1,735",10,"1,960",12.2%,102.9%
562,Southeast Raleigh High,S,.9-12,MOD,Center for Leadership and Technology,"1,720",,,,,,,,,,603,436,362,319,,885,835,6,20,"1,218",200,,96,180,0.3%,1.2%,70.8%,11.6%,0.0%,5.6%,10.5%,853,49.6%,45,2.6%,72,4.2%,NO,-%,95R,N/A,No,East Raleigh,Keith Sutton,Southwestern Area,Julye Mizelle,Raleigh,RALEIGH,85,"1,720",-60,"1,566",14,"1,842",18.2%,93.4%
583,Wake Early College of Health and Sciences High,S,.9-13,Early College,Early College - Health and Sciences,254,,,,,,,,,,76,71,43,49,15,68,186,,31,93,30,,13,87,0.0%,12.2%,36.6%,11.8%,0.0%,5.1%,34.3%,74,29.1%,4,1.6%,9,3.5%,NO,98.5%,HE,Hgh,Yes,East Raleigh,Keith Sutton,Southwestern Area,Julye Mizelle,Raleigh,RALEIGH,11,254,0,251,0,251,0.0%,101.2%
588,Wake Forest-Rolesville High,S,.9-12,T,N/A,"2,119",,,,,,,,,,623,502,478,516,,"1,055","1,064",7,58,473,238,3,88,"1,252",0.3%,2.7%,22.3%,11.2%,0.1%,4.2%,59.1%,543,25.6%,37,1.8%,72,3.4%,NO,80.2%,Dst,Exp,No,Northeast Wake,Chris Malone,Northeastern Area,Andre Smith,Wake Forest,WAKE FOREST,104,"2,119",63,"2,051",0,"2,114",0.0%,100.2%
582,Wake NCSU STEM  Early College High,S,9,Early College,Early College - STEM,55,,,,,,,,,,55,,,,,29,26,,5,29,3,,2,16,0.0%,9.1%,52.7%,5.5%,0.0%,3.6%,29.1%,22,40.0%,0,0.0%,0,0.0%,NO,,,,,South Central Raleigh,Dr. Jim Martin,Central Area,Kevin Hobbs,Raleigh,RALEIGH,8,55,-196,250,0,54,0.0%,101.9%
595,Wakefield High,S,.9-12,T,N/A,"2,460",,,,,,,,,,634,580,602,644,,"1,239","1,221",13,129,716,366,5,80,"1,151",0.5%,5.2%,29.1%,14.9%,0.2%,3.3%,46.8%,741,30.1%,58,2.4%,141,5.7%,NO,82.8%,Dst,Exp,No,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,82,"2,460",-81,"1,639",51,"2,701",45.3%,91.1%
324,Longview School,S/O,.6-12,T,N/A,108,,,,,,,7,26,16,32,16,8,3,,88,20,,,85,7,,6,10,0.0%,0.0%,78.7%,6.5%,0.0%,5.6%,9.3%,85,78.7%,1,0.9%,2,1.9%,NO,20.8%,NS,N/A,No,East Raleigh,Keith Sutton,Central Area,Kevin Hobbs,Raleigh,RALEIGH,26,108,0,102,0,102,0.0%,105.9%
528,Mary E. Phillips High School,S/O,.9-12,T,N/A,171,,,,,,,,,,45,41,21,64,,60,111,1,,138,17,,7,8,0.6%,0.0%,80.7%,9.9%,0.0%,4.1%,4.7%,125,73.1%,1,0.6%,6,3.5%,NO,35%,,Hgh,No,East Raleigh,Keith Sutton,Central Area,Kevin Hobbs,Raleigh,RALEIGH,22,171,0,144,0,144,0.0%,118.8%
508,Mount Vernon School,S/O ,.KI-8,T,N/A,94,,5,7,5,6,15,2,18,36,,,,,,75,19,1,,48,7,,7,31,1.1%,0.0%,51.1%,7.4%,0.0%,7.4%,33.0%,71,75.5%,1,1.1%,3,3.2%,NO,43.1%,,Hgh,No,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,25,94,0,128,1,138,7.2%,68.1%
438,River Oaks Middle School,S/O,.6-8,T,N/A,41,,,,,,,3,8,30,,,,,,29,12,,,25,8,,2,6,0.0%,0.0%,61.0%,19.5%,0.0%,4.9%,14.6%,32,78.0%,0,0.0%,3,7.3%,NO,67.3%,,Hgh,No,East Raleigh,Keith Sutton,Northeastern Area,Andre Smith,Raleigh,RALEIGH,14,41,0,0,0,0,0.0%,0.0%
,TOTAL,,,,,"146,687","12,002","11,907","11,185","11,982","11,655","11,833","11,382","11,204","11,164","12,658","10,663","9,760","9,277",15,"74,917","71,770",548,"9,178","36,225","21,960",153,"6,326","72,297",0.4%,6.3%,24.7%,15.0%,0.1%,4.3%,49.3%,"48,881",33.3%,"5,913",4.0%,"11,040",7.5%,,,,,,,,,,,,"7,723","146,687","-3,550","135,748","1,106","157,587",16.4%,92.7%
