Code,School Name,Level,Grade Span,Calendar,Magnet Program,School Membership 2011-12,KI GRADE,1st GRADE,2nd GRADE,3rd GRADE,4th GRADE,5th GRADE,6th GRADE,7th GRADE,8th GRADE,9th GRADE,10th GRADE,11th GRADE,12th GRADE,13th GRADE,MALE,FEMALE,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Two or More Races,White,% American Indian and Alaska Native,% Asian,% Black or African American,% Hispanic or Latino,% Native Hawaiian and Other Pacific Islander,% Two or More Races,% White,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2010-11,NC ABC Results Performance Recognition 2010-11,"NC ABC Results Growth Recognition
2010-11",AYP Status 2010-11,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location within Municipal Corporate Limit ,Number Permanent Learning Spaces,20th Day Actual Membership,Special Needs Program Adjustment,Existing School Building Capacity,Existing Temporary Classrooms,Annual School Campus Capacity [ASCC],Percent in Temporary Classrooms,Percent Crowding Including Existing Temporary Classrooms
306,Herbert Akins Road Elementary,E,KI-5,Y-R,N/A,862,161,166,148,135,141,111,,,,,,,,,435,427,3,11,138,105,2,54,549,0.3%,1.3%,16.0%,12.2%,0.2%,6.3%,63.7%,249,28.9%,21,2.4%,50,5.8%,NO,76.7%,Pro,Exp,No,Southern Wake,Susan Evans,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,51,862,27,"1,078",0,"1,105",0.0%,78.0%
454,Heritage Elementary,E,KI-5,Y-R,N/A,932,150,149,138,148,181,166,,,,,,,,,481,451,2,24,127,50,,24,705,0.2%,2.6%,13.6%,5.4%,0.0%,2.6%,75.6%,162,17.4%,22,2.4%,33,3.5%,NO,83.3%,Dst,Hgh,No,Northeast Wake,Chris Malone,Northeastern Area,Andre Smith,Wake Forest,WAKE FOREST,37,932,-4,705,7,862,18.7%,108.1%
443,Highcroft Drive Elementary,E,KI-5,Y-R,N/A,807,123,143,136,138,137,130,,,,,,,,,442,365,,112,25,42,,47,581,0.0%,13.9%,3.1%,5.2%,0.0%,5.8%,72.0%,47,5.8%,17,2.1%,30,3.7%,NO,93.6%,HE,Hgh,Yes,Southern Wake,Susan Evans,Western Area,Jacqueline Ellis,Cary,CARY,38,807,100,501,9,808,25.6%,99.9%
442,Hilburn Drive Academy,E,KI-5,T,STEM Schools,349,76,42,59,64,57,51,,,,,,,,,186,163,2,35,90,68,,16,138,0.6%,10.0%,25.8%,19.5%,0.0%,4.6%,39.5%,124,35.5%,17,4.9%,38,10.9%,YES,71.2%,Pro,Hgh,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,35,349,26,540,8,750,24.5%,46.5%
446,Hodge Road Elementary,E,KI-5,Y-R,N/A,642,102,131,76,110,106,117,,,,,,,,,332,310,,11,185,359,,18,69,0.0%,1.7%,28.8%,55.9%,0.0%,2.8%,10.7%,512,79.8%,105,16.4%,228,35.5%,YES,62.5%,Pro,Exp,No,East Raleigh,Keith Sutton,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,36,642,-147,682,5,650,17.7%,98.8%
457,Holly Grove Elementary,E,KI-5,Y-R,N/A,909,152,156,151,163,143,144,,,,,,,,,458,451,1,18,104,76,2,34,674,0.1%,2.0%,11.4%,8.4%,0.2%,3.7%,74.1%,155,17.1%,8,0.9%,22,2.4%,NO,87.6%,Dst,Hgh,No,Southern Wake,Susan Evans,Southern Area,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,46,909,26,963,3,"1,058",6.5%,85.9%
449,Holly Ridge Elementary ,E,KI-5,T,N/A,725,111,111,123,129,112,139,,,,,,,,,362,363,,18,130,85,,37,455,0.0%,2.5%,17.9%,11.7%,0.0%,5.1%,62.8%,221,30.5%,21,2.9%,50,6.9%,NO,81.1%,Dst,Hgh,No,Southern Wake,Susan Evans,Southern Area,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,36,725,28,563,8,775,23.7%,93.5%
447,Holly Springs Elementary,E,KI-5,Y-R,N/A,"1,124",196,201,198,168,163,198,,,,,,,,,559,565,2,25,158,79,4,37,819,0.2%,2.2%,14.1%,7.0%,0.4%,3.3%,72.9%,170,15.1%,11,1.0%,30,2.7%,NO,85.7%,Dst,Hgh,No,Southern Wake,Susan Evans,Southern Area,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,36,"1,124",28,733,16,"1,129",32.6%,99.6%
448,Hunter Elementary,E,KI-5,T,Gifted & Talented/AG Basics,698,107,109,103,111,125,143,,,,,,,,,349,349,,56,342,56,2,25,217,0.0%,8.0%,49.0%,8.0%,0.3%,3.6%,31.1%,320,45.8%,26,3.7%,45,6.5%,YES,71.8%,Pro,Exp,No,East Raleigh,Keith Sutton,Central Area,Kevin Hobbs,Raleigh,RALEIGH,39,698,0,546,6,684,20.2%,102.0%
452,Jeffrey's Grove Elementary,E,KI-5,T,Global Schools,425,70,74,58,71,73,79,,,,,,,,,214,211,2,11,115,53,,22,222,0.5%,2.6%,27.1%,12.5%,0.0%,5.2%,52.2%,143,33.6%,7,1.7%,18,4.2%,NO,66.8%,Pro,Exp,No,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,32,425,51,471,3,591,11.7%,71.9%
